cgpa,backlogs,internships,skills_count,branch,placed
6.87,5,2,4,CIVIL,0
9.75,0,1,10,CSE,1
8.66,0,2,5,CSE,1
7.99,0,0,5,CSE,1
5.78,4,3,6,CSE,0
5.78,3,2,7,CIVIL,0
5.29,4,2,8,CSE,0
9.33,3,3,8,MECH,1
8.01,4,2,2,CIVIL,0
8.54,4,2,9,ECE,1
5.1,5,1,7,ECE,0
9.85,2,3,4,MECH,1
9.16,4,0,4,MECH,0
6.06,5,2,8,CIVIL,0
5.91,1,3,4,ECE,1
5.92,2,1,6,ECE,0
6.52,4,0,5,ECE,0
7.62,0,3,3,ECE,1
7.16,1,0,10,ECE,0
6.46,1,0,2,CSE,0
8.06,5,0,9,MECH,0
5.7,1,2,10,CSE,1
6.46,2,2,9,ECE,0
6.83,4,1,1,CIVIL,0
7.28,4,1,10,CIVIL,0
8.93,0,3,3,ECE,1
6.0,5,1,8,ECE,0
7.57,0,0,6,CIVIL,0
7.96,1,0,5,CSE,0
5.23,0,2,5,CSE,1
8.04,2,0,6,ECE,0
5.85,4,3,7,CSE,0
5.33,1,0,1,CIVIL,0
9.74,0,0,9,CSE,1
9.83,5,3,3,ECE,1
9.04,2,1,4,CIVIL,0
6.52,2,1,10,CSE,1
5.49,0,3,1,MECH,1
8.42,4,2,10,CIVIL,0
7.2,0,0,3,CIVIL,0
5.61,1,3,2,MECH,0
7.48,0,0,2,MECH,0
5.17,2,2,1,CIVIL,0
9.55,0,0,8,MECH,1
6.29,4,3,3,ECE,0
8.31,5,0,3,ECE,0
6.56,3,1,6,ECE,0
7.6,0,2,8,CIVIL,0
7.73,4,2,9,MECH,1
5.92,4,2,9,MECH,0
9.85,5,3,4,CSE,1
8.88,2,2,5,CSE,1
9.7,4,1,2,MECH,0
9.47,4,3,9,MECH,1
7.99,4,1,8,MECH,0
9.61,4,0,3,CIVIL,0
5.44,1,0,9,MECH,0
5.98,1,0,3,CSE,1
5.23,2,0,9,CIVIL,0
6.63,0,1,2,MECH,0
6.94,4,3,10,CSE,1
6.36,5,3,9,CIVIL,0
9.14,0,2,8,MECH,1
6.78,5,1,9,MECH,0
6.4,0,0,5,MECH,0
7.71,2,1,2,CIVIL,0
5.7,4,2,8,CSE,0
9.01,4,2,6,CSE,1
5.37,3,1,8,ECE,1
9.93,5,1,5,MECH,0
8.86,0,1,10,ECE,1
5.99,0,3,2,ECE,1
5.03,1,0,6,CSE,0
9.08,3,1,5,CIVIL,0
8.53,1,1,5,CIVIL,0
8.65,1,1,1,CSE,0
8.86,1,2,2,CIVIL,1
5.37,5,2,8,ECE,0
6.79,5,3,3,MECH,0
5.58,2,0,10,CSE,0
9.32,2,3,3,MECH,1
8.12,1,0,8,CIVIL,0
6.65,3,2,8,MECH,0
5.32,0,2,2,CIVIL,0
6.55,5,2,8,CIVIL,0
6.63,3,3,1,ECE,0
8.65,4,1,6,CIVIL,0
8.19,5,1,8,ECE,1
9.44,5,2,3,ECE,0
7.36,2,1,8,ECE,1
5.6,0,1,1,CSE,1
8.57,0,3,9,CSE,1
8.8,4,0,9,CIVIL,0
7.81,4,2,5,ECE,0
8.85,5,2,10,CSE,1
7.47,1,3,4,ECE,1
7.61,2,3,6,MECH,1
7.14,2,1,7,MECH,0
5.13,5,2,5,MECH,0
5.54,3,0,10,CIVIL,0
5.16,1,3,9,ECE,1
8.18,5,0,3,MECH,0
6.57,1,0,7,CSE,1
7.54,1,2,10,MECH,1
9.54,1,2,10,MECH,1
6.25,5,3,5,MECH,0
7.05,2,2,7,CIVIL,0
8.78,2,2,2,CSE,1
6.14,1,2,4,ECE,1
5.38,3,0,2,CSE,0
6.45,0,3,7,ECE,1
5.81,5,1,2,CIVIL,0
9.65,0,0,1,CIVIL,0
9.04,3,2,9,CIVIL,0
8.17,5,0,1,CIVIL,0
9.36,1,2,8,ECE,1
9.02,2,2,2,MECH,1
5.93,0,0,8,ECE,1
9.46,4,3,3,CSE,1
7.7,4,2,6,CIVIL,0
9.04,3,3,3,CIVIL,1
9.48,1,1,7,CSE,1
6.59,0,2,10,ECE,1
5.55,1,3,9,MECH,1
6.14,0,3,2,MECH,0
7.14,3,1,5,CSE,1
9.09,3,3,6,MECH,1
9.3,4,3,4,ECE,1
5.03,1,1,4,ECE,0
7.55,5,2,4,CSE,0
7.09,4,3,2,ECE,1
6.11,1,3,4,CIVIL,0
5.6,4,3,1,CSE,1
6.69,5,0,6,ECE,0
9.71,2,1,1,CSE,1
6.62,2,0,10,MECH,0
